"","id_estado","ANIO","estado","poblacion"
"349",11,2017,"Guanajuato",5962765
"350",11,2018,"Guanajuato",6030822
"351",11,2019,"Guanajuato",6098878
"352",11,2020,"Guanajuato",6166934
"353",12,1989,"Guerrero",2561451
"354",12,1990,"Guerrero",2620637
"355",12,1991,"Guerrero",2679823
"356",12,1992,"Guerrero",2739009
"357",12,1993,"Guerrero",2798195
"358",12,1994,"Guerrero",2857381
"359",12,1995,"Guerrero",2916567
"360",12,1996,"Guerrero",2949183
"361",12,1997,"Guerrero",2981800
"362",12,1998,"Guerrero",3014416
"363",12,1999,"Guerrero",3047033
"364",12,2000,"Guerrero",3079649
"365",12,2001,"Guerrero",3086760
"366",12,2002,"Guerrero",3093870
"367",12,2003,"Guerrero",3100981
"368",12,2004,"Guerrero",3108091
"369",12,2005,"Guerrero",3115202
"370",12,2006,"Guerrero",3169915
"371",12,2007,"Guerrero",3224628
"372",12,2008,"Guerrero",3279342
"373",12,2009,"Guerrero",3334055
"374",12,2010,"Guerrero",3388768
"375",12,2011,"Guerrero",3403960
"376",12,2012,"Guerrero",3419151
"377",12,2013,"Guerrero",3434343
"378",12,2014,"Guerrero",3449535
"379",12,2015,"Guerrero",3464726
"380",12,2016,"Guerrero",3479918
"381",12,2017,"Guerrero",3495110
"382",12,2018,"Guerrero",3510302
"383",12,2019,"Guerrero",3525493
"384",12,2020,"Guerrero",3540685
"385",13,1989,"Hidalgo",1843545
"386",13,1990,"Hidalgo",1888366
"387",13,1991,"Hidalgo",1933187
"388",13,1992,"Hidalgo",1978009
"389",13,1993,"Hidalgo",2022830
"390",13,1994,"Hidalgo",2067652
"391",13,1995,"Hidalgo",2112473
"392",13,1996,"Hidalgo",2137097
"393",13,1997,"Hidalgo",2161720
"394",13,1998,"Hidalgo",2186344
"395",13,1999,"Hidalgo",2210967
"396",13,2000,"Hidalgo",2235591
"397",13,2001,"Hidalgo",2257576
"398",13,2002,"Hidalgo",2279560
"399",13,2003,"Hidalgo",2301545
"400",13,2004,"Hidalgo",2323529
"401",13,2005,"Hidalgo",2345514
"402",13,2006,"Hidalgo",2409415
"403",13,2007,"Hidalgo",2473316
"404",13,2008,"Hidalgo",2537216
"405",13,2009,"Hidalgo",2601117
"406",13,2010,"Hidalgo",2665018
"407",13,2011,"Hidalgo",2706800
"408",13,2012,"Hidalgo",2748583
"409",13,2013,"Hidalgo",2790365
"410",13,2014,"Hidalgo",2832147
"411",13,2015,"Hidalgo",2873930
"412",13,2016,"Hidalgo",2915712
"413",13,2017,"Hidalgo",2957494
"414",13,2018,"Hidalgo",2999276
"415",13,2019,"Hidalgo",3041059
"416",13,2020,"Hidalgo",3082841
"417",14,1989,"Jalisco",5164992
"418",14,1990,"Jalisco",5302689
"419",14,1991,"Jalisco",5440386
"420",14,1992,"Jalisco",5578084
"421",14,1993,"Jalisco",5715781
"422",14,1994,"Jalisco",5853479
"423",14,1995,"Jalisco",5991176
"424",14,1996,"Jalisco",6057341
"425",14,1997,"Jalisco",6123506
"426",14,1998,"Jalisco",6189672
"427",14,1999,"Jalisco",6255837
"428",14,2000,"Jalisco",6322002
"429",14,2001,"Jalisco",6408024
"430",14,2002,"Jalisco",6494046
"431",14,2003,"Jalisco",6580069
"432",14,2004,"Jalisco",6666091
"433",14,2005,"Jalisco",6752113
"434",14,2006,"Jalisco",6871827
"435",14,2007,"Jalisco",6991541
"436",14,2008,"Jalisco",7111254
"437",14,2009,"Jalisco",7230968
"438",14,2010,"Jalisco",7350682
"439",14,2011,"Jalisco",7450429
"440",14,2012,"Jalisco",7550176
"441",14,2013,"Jalisco",7649923
"442",14,2014,"Jalisco",7749670
"443",14,2015,"Jalisco",7849416
"444",14,2016,"Jalisco",7949163
"445",14,2017,"Jalisco",8048910
"446",14,2018,"Jalisco",8148657
"447",14,2019,"Jalisco",8248404
"448",14,2020,"Jalisco",8348151
"449",15,1989,"México",9437361
"450",15,1990,"México",9815795
"451",15,1991,"México",10194229
"452",15,1992,"México",10572663
"453",15,1993,"México",10951096
"454",15,1994,"México",11329530
"455",15,1995,"México",11707964
"456",15,1996,"México",11985708
"457",15,1997,"México",12263453
"458",15,1998,"México",12541197
"459",15,1999,"México",12818942
"460",15,2000,"México",13096686
"461",15,2001,"México",13278848
"462",15,2002,"México",13461010
"463",15,2003,"México",13643171
"464",15,2004,"México",13825333
"465",15,2005,"México",14007495
"466",15,2006,"México",14241168
"467",15,2007,"México",14474842
"468",15,2008,"México",14708515
"469",15,2009,"México",14942189
"470",15,2010,"México",15175862
"471",15,2011,"México",15357518
"472",15,2012,"México",15539173
"473",15,2013,"México",15720829
"474",15,2014,"México",15902484
"475",15,2015,"México",16084140
"476",15,2016,"México",16265796
"477",15,2017,"México",16447451
"478",15,2018,"México",16629107
"479",15,2019,"México",16810762
"480",15,2020,"México",16992418
"481",16,1989,"Michoacán de Ocampo",3483718
"482",16,1990,"Michoacán de Ocampo",3548199
"483",16,1991,"Michoacán de Ocampo",3612680
"484",16,1992,"Michoacán de Ocampo",3677161
"485",16,1993,"Michoacán de Ocampo",3741642
"486",16,1994,"Michoacán de Ocampo",3806123
"487",16,1995,"Michoacán de Ocampo",3870604
"488",16,1996,"Michoacán de Ocampo",3893617
"489",16,1997,"Michoacán de Ocampo",3916629
"490",16,1998,"Michoacán de Ocampo",3939642
"491",16,1999,"Michoacán de Ocampo",3962654
"492",16,2000,"Michoacán de Ocampo",3985667
"493",16,2001,"Michoacán de Ocampo",3981748
"494",16,2002,"Michoacán de Ocampo",3977829
"495",16,2003,"Michoacán de Ocampo",3973911
"496",16,2004,"Michoacán de Ocampo",3969992
"497",16,2005,"Michoacán de Ocampo",3966073
"498",16,2006,"Michoacán de Ocampo",4043066
"499",16,2007,"Michoacán de Ocampo",4120059
"500",16,2008,"Michoacán de Ocampo",4197051
"501",16,2009,"Michoacán de Ocampo",4274044
"502",16,2010,"Michoacán de Ocampo",4351037
"503",16,2011,"Michoacán de Ocampo",4390818
"504",16,2012,"Michoacán de Ocampo",4430599
"505",16,2013,"Michoacán de Ocampo",4470380
"506",16,2014,"Michoacán de Ocampo",4510161
"507",16,2015,"Michoacán de Ocampo",4549942
"508",16,2016,"Michoacán de Ocampo",4589722
"509",16,2017,"Michoacán de Ocampo",4629503
"510",16,2018,"Michoacán de Ocampo",4669284
"511",16,2019,"Michoacán de Ocampo",4709065
"512",16,2020,"Michoacán de Ocampo",4748846
"513",17,1989,"Morelos",1145538
"514",17,1990,"Morelos",1195059
"515",17,1991,"Morelos",1244580
"516",17,1992,"Morelos",1294100
"517",17,1993,"Morelos",1343621
"518",17,1994,"Morelos",1393141
"519",17,1995,"Morelos",1442662
"520",17,1996,"Morelos",1465189
"521",17,1997,"Morelos",1487716
"522",17,1998,"Morelos",1510242
"523",17,1999,"Morelos",1532769
"524",17,2000,"Morelos",1555296
"525",17,2001,"Morelos",1566817
"526",17,2002,"Morelos",1578337
"527",17,2003,"Morelos",1589858
"528",17,2004,"Morelos",1601378
"529",17,2005,"Morelos",1612899
"530",17,2006,"Morelos",1645765
"531",17,2007,"Morelos",1678630
"532",17,2008,"Morelos",1711496
"533",17,2009,"Morelos",1744361
"534",17,2010,"Morelos",1777227
"535",17,2011,"Morelos",1796656
"536",17,2012,"Morelos",1816086
"537",17,2013,"Morelos",1835515
"538",17,2014,"Morelos",1854944
"539",17,2015,"Morelos",1874374
"540",17,2016,"Morelos",1893803
"541",17,2017,"Morelos",1913232
"542",17,2018,"Morelos",1932661
"543",17,2019,"Morelos",1952091
"544",17,2020,"Morelos",1971520
"545",18,1989,"Nayarit",810231
"546",18,1990,"Nayarit",824643
"547",18,1991,"Nayarit",839055
"548",18,1992,"Nayarit",853467
"549",18,1993,"Nayarit",867878
"550",18,1994,"Nayarit",882290
"551",18,1995,"Nayarit",896702
"552",18,1996,"Nayarit",901399
"553",18,1997,"Nayarit",906095
"554",18,1998,"Nayarit",910792
"555",18,1999,"Nayarit",915488
"556",18,2000,"Nayarit",920185
"557",18,2001,"Nayarit",926085
"558",18,2002,"Nayarit",931985
"559",18,2003,"Nayarit",937884
"560",18,2004,"Nayarit",943784
"561",18,2005,"Nayarit",949684
"562",18,2006,"Nayarit",976743
"563",18,2007,"Nayarit",1003802
"564",18,2008,"Nayarit",1030861
"565",18,2009,"Nayarit",1057920
"566",18,2010,"Nayarit",1084979
"567",18,2011,"Nayarit",1100027
"568",18,2012,"Nayarit",1115074
"569",18,2013,"Nayarit",1130122
"570",18,2014,"Nayarit",1145170
"571",18,2015,"Nayarit",1160218
"572",18,2016,"Nayarit",1175265
"573",18,2017,"Nayarit",1190313
"574",18,2018,"Nayarit",1205361
"575",18,2019,"Nayarit",1220408
"576",18,2020,"Nayarit",1235456
"577",19,1989,"Nuevo León",3008460
"578",19,1990,"Nuevo León",3098736
"579",19,1991,"Nuevo León",3189012
"580",19,1992,"Nuevo León",3279287
"581",19,1993,"Nuevo León",3369563
"582",19,1994,"Nuevo León",3459838
"583",19,1995,"Nuevo León",3550114
"584",19,1996,"Nuevo León",3606919
"585",19,1997,"Nuevo León",3663725
"586",19,1998,"Nuevo León",3720530
"587",19,1999,"Nuevo León",3777336
"588",19,2000,"Nuevo León",3834141
"589",19,2001,"Nuevo León",3907171
"590",19,2002,"Nuevo León",3980201
"591",19,2003,"Nuevo León",4053232
"592",19,2004,"Nuevo León",4126262
"593",19,2005,"Nuevo León",4199292
"594",19,2006,"Nuevo León",4290125
"595",19,2007,"Nuevo León",4380958
"596",19,2008,"Nuevo León",4471792
"597",19,2009,"Nuevo León",4562625
"598",19,2010,"Nuevo León",4653458
"599",19,2011,"Nuevo León",4766556
"600",19,2012,"Nuevo León",4879655
"601",19,2013,"Nuevo León",4992753
"602",19,2014,"Nuevo León",5105852
"603",19,2015,"Nuevo León",5218950
"604",19,2016,"Nuevo León",5332048
"605",19,2017,"Nuevo León",5445147
"606",19,2018,"Nuevo León",5558245
"607",19,2019,"Nuevo León",5671344
"608",19,2020,"Nuevo León",5784442
"609",20,1989,"Oaxaca",2977693
"610",20,1990,"Oaxaca",3019560
"611",20,1991,"Oaxaca",3061427
"612",20,1992,"Oaxaca",3103294
"613",20,1993,"Oaxaca",3145161
"614",20,1994,"Oaxaca",3187028
"615",20,1995,"Oaxaca",3228895
"616",20,1996,"Oaxaca",3270869
"617",20,1997,"Oaxaca",3312843
"618",20,1998,"Oaxaca",3354817
"619",20,1999,"Oaxaca",3396791
"620",20,2000,"Oaxaca",3438765
"621",20,2001,"Oaxaca",3452376
"622",20,2002,"Oaxaca",3465987
"623",20,2003,"Oaxaca",3479599
"624",20,2004,"Oaxaca",3493210
"625",20,2005,"Oaxaca",3506821
"626",20,2006,"Oaxaca",3565849
"627",20,2007,"Oaxaca",3624877
"628",20,2008,"Oaxaca",3683906
"629",20,2009,"Oaxaca",3742934
"630",20,2010,"Oaxaca",3801962
"631",20,2011,"Oaxaca",3834981
"632",20,2012,"Oaxaca",3867999
"633",20,2013,"Oaxaca",3901018
"634",20,2014,"Oaxaca",3934036
"635",20,2015,"Oaxaca",3967055
"636",20,2016,"Oaxaca",4000074
"637",20,2017,"Oaxaca",4033092
"638",20,2018,"Oaxaca",4066111
"639",20,2019,"Oaxaca",4099129
"640",20,2020,"Oaxaca",4132148
"641",21,1989,"Puebla",4026448
"642",21,1990,"Puebla",4126101
"643",21,1991,"Puebla",4225754
"644",21,1992,"Puebla",4325407
"645",21,1993,"Puebla",4425059
"646",21,1994,"Puebla",4524712
"647",21,1995,"Puebla",4624365
"648",21,1996,"Puebla",4714829
"649",21,1997,"Puebla",4805293
"650",21,1998,"Puebla",4895758
"651",21,1999,"Puebla",4986222
"652",21,2000,"Puebla",5076686
"653",21,2001,"Puebla",5137975
"654",21,2002,"Puebla",5199265
"655",21,2003,"Puebla",5260554
"656",21,2004,"Puebla",5321844
"657",21,2005,"Puebla",5383133
"658",21,2006,"Puebla",5462472
"659",21,2007,"Puebla",5541811
"660",21,2008,"Puebla",5621151
"661",21,2009,"Puebla",5700490
"662",21,2010,"Puebla",5779829
"663",21,2011,"Puebla",5860174
"664",21,2012,"Puebla",5940519
"665",21,2013,"Puebla",6020864
"666",21,2014,"Puebla",6101209
"667",21,2015,"Puebla",6181554
"668",21,2016,"Puebla",6261898
"669",21,2017,"Puebla",6342243
"670",21,2018,"Puebla",6422588
"671",21,2019,"Puebla",6502933
"672",21,2020,"Puebla",6583278
"673",22,1989,"Querétaro",1011387
"674",22,1990,"Querétaro",1051235
"675",22,1991,"Querétaro",1091083
"676",22,1992,"Querétaro",1130931
"677",22,1993,"Querétaro",1170780
"678",22,1994,"Querétaro",1210628
"679",22,1995,"Querétaro",1250476
"680",22,1996,"Querétaro",1281242
"681",22,1997,"Querétaro",1312008
"682",22,1998,"Querétaro",1342774
"683",22,1999,"Querétaro",1373540
"684",22,2000,"Querétaro",1404306
"685",22,2001,"Querétaro",1443073
"686",22,2002,"Querétaro",1481839
"687",22,2003,"Querétaro",1520606
"688",22,2004,"Querétaro",1559372
"689",22,2005,"Querétaro",1598139
"690",22,2006,"Querétaro",1644099
"691",22,2007,"Querétaro",1690058
"692",22,2008,"Querétaro",1736018
"693",22,2009,"Querétaro",1781977
"694",22,2010,"Querétaro",1827937
"695",22,2011,"Querétaro",1881990
"696",22,2012,"Querétaro",1936043
"697",22,2013,"Querétaro",1990096
"698",22,2014,"Querétaro",2044149
"699",22,2015,"Querétaro",2098202
"700",22,2016,"Querétaro",2152255
"701",22,2017,"Querétaro",2206308
"702",22,2018,"Querétaro",2260361
"703",22,2019,"Querétaro",2314414
"704",22,2020,"Querétaro",2368467
"705",23,1989,"Quintana Roo",451225
"706",23,1990,"Quintana Roo",493277
"707",23,1991,"Quintana Roo",535329
"708",23,1992,"Quintana Roo",577381
"709",23,1993,"Quintana Roo",619432
"710",23,1994,"Quintana Roo",661484
"711",23,1995,"Quintana Roo",703536
"712",23,1996,"Quintana Roo",737821
"713",23,1997,"Quintana Roo",772107
"714",23,1998,"Quintana Roo",806392
"715",23,1999,"Quintana Roo",840678
"716",23,2000,"Quintana Roo",874963
"717",23,2001,"Quintana Roo",927032
"718",23,2002,"Quintana Roo",979101
