,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aportaciones federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derecho adicional sobre extracción del petróleo,Derechos,Escuelas,FA Múltiples,FA para Educación Tecnológica y Adultos,FA para Infraestructura Social Estatal,FA para Nómina Educativa y Gasto Operativo,FA para el Fortalecimiento de los Municipios,FA para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales de la Ciudad de México,FA para la Infraestructura Social Municipal,FA para la Seguridad Pública,FA para los Servicios de Salud,Financiamiento,Fondo de Extracción de Hidrocarburos,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Recursos federales reasignados,Servicios de limpieza y manejo de desechos,Servicios personales,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
68,3,1993,0,220971000,0,936000,0,92400000,0,45000.0,0.0,0,0,0,0,0,0,0,0,0,350000,0,0.0,5016000,6511000,214397000,1684000,220971000,0,108287000,535799000,535799000,535449000
69,3,1994,0,268279000,0,1068000,0,41400000,0,102000.0,0.0,0,0,0,0,0,0,0,0,0,57351000,0,0.0,9049000,11054000,253953000,3760000,268279000,0,97432000,634962000,634962000,577611000
70,3,1995,0,315330000,0,1152000,0,0,0,118000.0,0.0,0,0,0,0,0,0,0,0,0,158542000,0,0.0,8390000,8340000,285680000,7168000,315330000,0,106288000,776380000,776380000,617838000
71,3,1996,796000,625455000,0,1920000,0,0,0,2501000.0,0.0,0,0,0,0,0,0,0,0,0,1827000,0,0.0,10972000,10165000,437879000,7492000,625455000,0,131715000,1088136000,1088136000,1086309000
72,3,1997,1510000,726559049,0,2483462,0,0,0,3142768.0,0.0,0,0,0,0,0,0,0,0,0,88516000,0,0.0,22853726,11776000,572649000,13383804,726559049,0,156030000,1442317717,1442317717,1353801717
73,3,1998,1950265,1311642895,0,6685498,0,0,0,2985884.0,70000.0,33572474,0,0,760530616,25419625,0,98052729,0,147761845,0,0,355569.0,40183695,30701081,709215585,32976557,246305606,0,199043352,2107979762,2107979762,2107979762
74,3,1999,3548000,1367787000,0,2524000,0,0,0,3645000.0,0.0,40230000,0,76600000,878489000,59491000,0,0,0,205827000,34836000,0,0.0,47003000,15515000,871566000,24771000,107150000,0,221718000,2384445000,2384445000,2349609000
75,3,2000,2613000,1829068000,0,2338000,0,0,0,1838000.0,0.0,45083000,0,0,1182165000,68270000,0,20426000,0,252829000,0,0,0.0,71613000,51594000,1182343000,43264000,260295000,0,261999000,3160775000,3160775000,3160775000
76,3,2001,3684653,2028662000,0,43607000,0,0,0,1464000.0,0.0,55082000,23833000,2952000,1301149000,85496000,0,21402000,0,277990000,118411000,0,0.0,100552000,62482776,1276470000,41954000,260758000,624390,312936510,3618719000,3618719000,3500308000
77,3,2002,2921000,2200168337,0,5037972,34156958,0,0,835822.0,0.0,50775732,26514931,3771143,1387865378,97695851,0,29863732,3470785,300246065,166917749,0,0.0,71908387,124175340,1319572282,79637820,299964720,0,358017000,3982045549,3982045549,3815127800
