,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derechos,Escuelas,Financiamiento,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Servicios de limpieza y manejo de desechos,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
103,4,2000,0,2662965305,6957000,0,228649254,299831304.0,0.0,0,0.0,115147039,911576818,2079827003,78974019,0,6081746436,6081746436,6081746436
104,4,2001,0,3119177540,6808000,0,286542989,197215363.0,0.0,0,0.0,149611893,778686718,2216183471,88624056,0,6602720772,6602720772,6602720772
105,4,2002,0,3324360115,6272000,0,106523324,266216530.0,0.0,0,0.0,193093115,667839563,2345370554,39087854,0,6838399775,6838399775,6838399775
106,4,2003,0,3606496119,11265000,0,513244305,256864392.0,0.0,0,0.0,232190639,659174031,2729240633,38193941,0,8013856213,8013856213,8013856213
107,4,2004,0,4115023397,8272000,0,543775768,287424500.0,0.0,0,0.0,281905806,735129076,2866571515,33784936,0,8706924060,8706924060,8706924060
108,4,2005,0,4715592273,34195000,0,858877325,211320663.0,66765000.0,0,131058000.0,297677968,1039572400,3241533605,53417491,0,10185832987,10185832987,10185832987
109,4,2006,0,5273982000,11161000,0,518159000,383584000.0,15397387.0,0,3205236.0,355744000,1501153626,3702033000,120389000,0,11360811000,11360811000,11360811000
110,4,2007,0,6634450000,27068000,0,0,527360000.0,33969229.0,0,3012772.0,443972000,1306954495,3983302000,109069000,0,12468049173,12468049173,12468049173
111,4,2008,0,6515509000,9330000,0,1096360061,496571000.0,104225829.0,0,156896606.0,492451000,2310528000,5700144000,143045000,0,16356690698,16356690698,16356690698
112,4,2009,0,6740461000,239000,0,0,314520000.0,147612794.0,1083021000,741264000.0,546460000,2270193000,4736022000,77654000,0,13498377000,13498377000,12415356000
113,4,2010,0,7487272000,754000,0,0,531906000.0,23964476.0,450467981,31832473.0,822511000,996691032,5464626000,53549000,0,14829577981,14829577981,14379110000
114,4,2011,0,8270369000,782000,0,0,766831000.0,190827000.0,611145000,3370000.0,1015611000,1003542000,5773922000,58932000,0,16497592000,16497592000,15886447000
115,4,2012,0,9253319000,177598000,0,0,642961000.0,144254000.0,1166834000,15700000.0,1116673000,1048958000,6482847000,64395000,0,18904627000,18904627000,17737793000
116,4,2013,0,10078186000,208841000,0,0,653204000.0,146557000.0,463429000,83535000.0,1290273000,901974000,6689542000,50458000,0,19433933000,19433933000,18970504000
117,4,2014,0,10599073000,91921000,0,0,892036000.0,153308046.0,1295898129,6030000.0,1763506000,1549408204,6757416000,63052000,0,21462902129,21462902129,20167004000
118,4,2015,3466614,12352655706,107865541,0,0,336582592.0,13263941.0,124194097,13334132.0,2008375300,980008423,8187145000,51873942,3895450,23168692178,23168692178,23044498081
119,4,2016,4032927,11398584000,133901000,0,0,364522000.0,0.0,106171797,29691163.0,1544655000,700007282,7862292000,65639000,6315063,21475764797,21475764797,21369593000
120,4,2017,5769722,12727924000,160272000,0,0,522407000.0,0.0,970869320,12163322.0,1392721000,1315260691,6981167000,106719000,7001335,22862079320,22862079320,21891210000
121,4,2018,5661021,13315573000,159666306,0,0,439841776.0,0.0,1363638000,0.0,1406514702,2045565722,8864421880,118189318,7782167,25667844982,25667844982,24304206982
122,5,1989,0,6928,858119,0,0,10770808.0,4245725.0,30529607,349492.0,1753178,27249687,345447758,9495960,0,398862358,398862358,368332751
123,5,1990,0,168788,23516990,0,0,23211113.0,0.0,0,0.0,879645,92022750,496289422,7677753,0,551743711,551743711,551743711
124,5,1991,0,192694,6749271,0,0,35265369.0,0.0,0,0.0,22741908,20462417,611239591,6633609,0,682822442,682822442,682822442
125,5,1992,0,215900,8550901,0,0,67109018.0,0.0,0,0.0,32005423,13552846,739535656,8281169,0,855698067,855698067,855698067
126,5,1993,0,723206400,45019200,0,0,66692000.0,0.0,11833600,0.0,39647300,68905840,834596700,15704700,0,1736699900,1736699900,1724866300
127,5,1994,0,21070500,55023000,0,1124241600,109492700.0,0.0,223535700,0.0,48613400,117998900,964120500,6657000,0,2552754400,2552754400,2329218700
128,5,1995,0,1365889500,11139600,0,0,165249000.0,0.0,468925836,0.0,62218100,79318741,1156056600,22691800,0,3252170436,3252170436,2783244600
129,5,1996,4681798,1796238000,93048000,0,0,110828000.0,0.0,306956428,0.0,91962000,90676135,1675192000,22541000,0,4096765428,4096765428,3789809000
130,5,1997,4281776,2162457000,7790000,17546000,0,160358000.0,0.0,487407000,0.0,113803000,192055742,2254204000,102127000,0,5305692000,5305692000,4818285000
131,5,1998,13366667,3641599000,0,0,0,186757000.0,0.0,121714756,0.0,175035000,1017197086,2840458000,58912000,0,7307274596,7307274596,7185559840
132,5,1999,13484853,4314291669,65006808,27976499,0,201783418.0,0.0,388601558,0.0,187122280,950839963,3574163648,82441869,0,8841387749,8841387749,8452786191
133,5,2000,12671252,5863850101,4951566,57806704,0,258783873.0,108011610.0,0,0.0,253158589,1017351250,4312729471,115298984,0,10866579288,10866579288,10866579288
134,5,2001,14965188,6646320934,13336262,203204578,0,464346553.0,122581649.0,0,0.0,302172707,1400944663,4930356159,160209373,0,12719946566,12719946566,12719946566
